talent_id,talent_name ,talent_img_address,talent_birth_place,talent_birthday,talent_blood_type,talent_group_name,talent_info08,twitter_address,youtube_address,ticktok_address
52171236-5683-42e5-bddb-91f9fbd15cb8,小林圭輔,imgKinzokuBat.jpg,大阪府堺市,1986/03/06,A,金属バット,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/kinzokubatKB?ref_src=twsrc%5Etfw"">Tweets by kinzokubatKB</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/videoseries?list=PLOuLptXleWRxw-POPU6iIzzubF3Z6Pme-"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
1ce20b5c-44e4-40eb-b6e6-2617e37da2a8,友保隼平,imgKinzokuBat.jpg,大阪府堺市,1985/08/11,AB,金属バット,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/kinzokutomoyasu?ref_src=twsrc%5Etfw"">Tweets by kinzokutomoyasu</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/videoseries?list=PLOuLptXleWRxw-POPU6iIzzubF3Z6Pme-"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
44483964-3490-4852-98ff-85dea7045195,あかさたなはまや,imgAkasatanaHamaya.jpg,大阪府,1996/08/26,O,なし,なし,なし,なし,なし
cf338bb4-d294-4b14-9906-3629cf181238,高井佳佑,imgGirlyRecordChannel.jpg,北海道上川郡,1992/08/18,A,ガーリィレコードチャンネル,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/kurutteyagaru?ref_src=twsrc%5Etfw"">Tweets by kurutteyagaru</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/j-nH3vVUX34"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
b7d0f324-6dfd-4f5e-8c57-61c810ceda7d,フェニックス,imgGirlyRecordChannel.jpg,東京都大田区,1992/08/03,B,ガーリィレコードチャンネル,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/gr_phenix?ref_src=twsrc%5Etfw"">Tweets by gr_phenix</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/j-nH3vVUX34"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
2cc97655-6ae9-42dc-b096-6af9ea078a12,雨野宮将明,imgGirlyRecordChannel.jpg,東京都,1992/09/03,A,ガーリィレコードチャンネル,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/_ame_no_?ref_src=twsrc%5Etfw"">Tweets by _ame_no_</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/j-nH3vVUX34"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
d0422eb6-6c8d-4f4e-9e36-c64f2abdc345,太郎,imgGirlyRecordChannel.jpg,神奈川県,1992/06/04,AB,ガーリィレコードチャンネル,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/taropump?ref_src=twsrc%5Etfw"">Tweets by taropump</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/j-nH3vVUX34"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
22385591-ba9d-40df-a9e4-a43f27ac6df3,井下大活躍,imgInoshitaYoshii.jpg,大阪府枚方市,1985/09/18,B,井下好井,なし,なし,なし,なし
d942ab98-54c6-406b-9488-63538c981c2a,好井まさお,imgInoshitaYoshii.jpg,大阪府枚方市,1984/04/27,O,井下好井,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/yoshiimasao0427?ref_src=twsrc%5Etfw"">Tweets by yoshiimasao0427</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HnBjcTtxlog"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","<blockquote class=""tiktok-embed"" cite=""https://www.tiktok.com/@yoshiimasao0427"" data-unique-id=""yoshiimasao0427""  data-embed-type=""creator"" style=""max-width: 720px; min-width: 288px;"" > <section> <a target=""_blank"" href=""https://www.tiktok.com/@yoshiimasao0427?refer=creator_embed"">@yoshiimasao0427</a> </section> </blockquote> <script async src=""https://www.tiktok.com/embed.js""></script>"
7a85ebc1-9328-4d40-956d-5a9c6ee704ce,ありがとうぁみ,imgArigatou.jpg,山口県宇部市,1982/09/29,A,ありがとう,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/arigato_ami?ref_src=twsrc%5Etfw"">Tweets by arigato_ami</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/cTqSP8LFeVE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
25500ea9-1cd9-475d-a5b2-36e6d8bb5c60,細野哲平,imgArigatou.jpg,埼玉県,1986/06/20,O,ありがとう,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/arigatouhosono?ref_src=twsrc%5Etfw"">Tweets by arigatouhosono</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",なし,なし
7df3b19a-841e-4231-a816-01dd1e94142d,おしみんまる,imgOshiminmaru.jpg,新潟県燕市,1977/05/05,O,なし,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/nijyuban?ref_src=twsrc%5Etfw"">Tweets by nijyuban</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/03jKGppLGiQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
67123811-f962-4b99-b7c8-167c5eda1eef,えいじ,imgImpossible.jpg,福岡県筑紫野市,1984/02/17,O,インポッシブル,なし,"<a class=""twitter-timeline"" href=""https://twitter.com/INPOINOMOTO?ref_src=twsrc%5Etfw"">Tweets by INPOINOMOTO</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/D8FH54p-yNQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",なし
